Year,League,Series,Team,Wins,Opponent,Opponent_Wins,Favorite,Underdog
1985,NBA,Western Conf Semifinals,Los Angeles Lakers,4,Portland Trail Blazers,1,NA,NA
1985,NBA,Eastern Conf Finals,Boston Celtics,4,Philadelphia 76ers,1,NA,NA
1985,NBA,Western Conf Finals,Los Angeles Lakers,4,Denver Nuggets,1,NA,NA
1985,NBA,Finals,Los Angeles Lakers,4,Boston Celtics,2,NA,NA
1984,NBA,Eastern Conf First Round,Boston Celtics,3,Washington Wizards,1,NA,NA
1984,NBA,Eastern Conf First Round,Milwaukee Bucks,3,Atlanta Hawks,2,NA,NA
1984,NBA,Eastern Conf First Round,Brooklyn Nets,3,Philadelphia 76ers,2,NA,NA
1984,NBA,Eastern Conf First Round,New York Knicks,3,Detroit Pistons,2,NA,NA
1984,NBA,Western Conf First Round,Dallas Mavericks,3,Oklahoma City Thunder,2,NA,NA
1984,NBA,Western Conf First Round,Los Angeles Lakers,3,Sacramento Kings,0,NA,NA
1984,NBA,Western Conf First Round,Phoenix Suns,3,Portland Trail Blazers,2,NA,NA
1984,NBA,Western Conf First Round,Utah Jazz,3,Denver Nuggets,2,NA,NA
1984,NBA,Eastern Conf Semifinals,Boston Celtics,4,New York Knicks,3,NA,NA
1984,NBA,Eastern Conf Semifinals,Milwaukee Bucks,4,Brooklyn Nets,2,NA,NA
1984,NBA,Western Conf Semifinals,Los Angeles Lakers,4,Dallas Mavericks,1,NA,NA
1984,NBA,Western Conf Semifinals,Phoenix Suns,4,Utah Jazz,2,NA,NA
1984,NBA,Eastern Conf Finals,Boston Celtics,4,Milwaukee Bucks,1,NA,NA
1984,NBA,Western Conf Finals,Los Angeles Lakers,4,Phoenix Suns,2,NA,NA
1984,NBA,Finals,Boston Celtics,4,Los Angeles Lakers,3,NA,NA
1983,NBA,Eastern Conf First Round,Boston Celtics,2,Atlanta Hawks,1,NA,NA
1983,NBA,Eastern Conf First Round,New York Knicks,2,Brooklyn Nets,0,NA,NA
1983,NBA,Western Conf First Round,Denver Nuggets,2,Phoenix Suns,1,NA,NA
1983,NBA,Western Conf First Round,Portland Trail Blazers,2,Oklahoma City Thunder,0,NA,NA
1983,NBA,Eastern Conf Semifinals,Milwaukee Bucks,4,Boston Celtics,0,NA,NA
1983,NBA,Eastern Conf Semifinals,Philadelphia 76ers,4,New York Knicks,0,NA,NA
1983,NBA,Western Conf Semifinals,Los Angeles Lakers,4,Portland Trail Blazers,1,NA,NA
1983,NBA,Western Conf Semifinals,San Antonio Spurs,4,Denver Nuggets,1,NA,NA
1983,NBA,Eastern Conf Finals,Philadelphia 76ers,4,Milwaukee Bucks,1,NA,NA
1983,NBA,Western Conf Finals,Los Angeles Lakers,4,San Antonio Spurs,2,NA,NA
1983,NBA,Finals,Philadelphia 76ers,4,Los Angeles Lakers,0,NA,NA
1982,NBA,Eastern Conf First Round,Philadelphia 76ers,2,Atlanta Hawks,0,NA,NA
1982,NBA,Eastern Conf First Round,Washington Wizards,2,Brooklyn Nets,0,NA,NA
1982,NBA,Western Conf First Round,Phoenix Suns,2,Denver Nuggets,1,NA,NA
1982,NBA,Western Conf First Round,Oklahoma City Thunder,2,Houston Rockets,1,NA,NA
1982,NBA,Eastern Conf Semifinals,Boston Celtics,4,Washington Wizards,1,NA,NA
1982,NBA,Eastern Conf Semifinals,Philadelphia 76ers,4,Milwaukee Bucks,2,NA,NA
1982,NBA,Western Conf Semifinals,Los Angeles Lakers,4,Phoenix Suns,0,NA,NA
1982,NBA,Western Conf Semifinals,San Antonio Spurs,4,Oklahoma City Thunder,1,NA,NA
1982,NBA,Eastern Conf Finals,Philadelphia 76ers,4,Boston Celtics,3,NA,NA
1982,NBA,Western Conf Finals,Los Angeles Lakers,4,San Antonio Spurs,0,NA,NA
1982,NBA,Finals,Los Angeles Lakers,4,Philadelphia 76ers,2,NA,NA
1981,NBA,Eastern Conf First Round,Chicago Bulls,2,New York Knicks,0,NA,NA
1981,NBA,Eastern Conf First Round,Philadelphia 76ers,2,Indiana Pacers,0,NA,NA
1981,NBA,Western Conf First Round,Houston Rockets,2,Los Angeles Lakers,1,NA,NA
1981,NBA,Western Conf First Round,Sacramento Kings,2,Portland Trail Blazers,1,NA,NA
1981,NBA,Eastern Conf Semifinals,Boston Celtics,4,Chicago Bulls,0,NA,NA
1981,NBA,Eastern Conf Semifinals,Philadelphia 76ers,4,Milwaukee Bucks,3,NA,NA
1981,NBA,Western Conf Semifinals,Houston Rockets,4,San Antonio Spurs,3,NA,NA
1981,NBA,Western Conf Semifinals,Sacramento Kings,4,Phoenix Suns,3,NA,NA
1981,NBA,Eastern Conf Finals,Boston Celtics,4,Philadelphia 76ers,3,NA,NA
1981,NBA,Western Conf Finals,Houston Rockets,4,Sacramento Kings,1,NA,NA
1981,NBA,Finals,Boston Celtics,4,Houston Rockets,2,NA,NA
1980,NBA,Eastern Conf First Round,Houston Rockets,2,San Antonio Spurs,1,NA,NA
1980,NBA,Eastern Conf First Round,Philadelphia 76ers,2,Washington Wizards,0,NA,NA
1980,NBA,Western Conf First Round,Phoenix Suns,2,Sacramento Kings,1,NA,NA
1980,NBA,Western Conf First Round,Oklahoma City Thunder,2,Portland Trail Blazers,1,NA,NA
1980,NBA,Eastern Conf Semifinals,Boston Celtics,4,Houston Rockets,0,NA,NA
1980,NBA,Eastern Conf Semifinals,Philadelphia 76ers,4,Atlanta Hawks,1,NA,NA
1980,NBA,Western Conf Semifinals,Los Angeles Lakers,4,Phoenix Suns,1,NA,NA
1980,NBA,Western Conf Semifinals,Oklahoma City Thunder,4,Milwaukee Bucks,3,NA,NA
1980,NBA,Eastern Conf Finals,Philadelphia 76ers,4,Boston Celtics,1,NA,NA
1980,NBA,Western Conf Finals,Los Angeles Lakers,4,Oklahoma City Thunder,1,NA,NA
1980,NBA,Finals,Los Angeles Lakers,4,Philadelphia 76ers,2,NA,NA
1979,NBA,Eastern Conf First Round,Atlanta Hawks,2,Houston Rockets,0,NA,NA
1979,NBA,Eastern Conf First Round,Philadelphia 76ers,2,Brooklyn Nets,0,NA,NA
1979,NBA,Western Conf First Round,Los Angeles Lakers,2,Denver Nuggets,1,NA,NA
1979,NBA,Western Conf First Round,Phoenix Suns,2,Portland Trail Blazers,1,NA,NA
1979,NBA,Eastern Conf Semifinals,San Antonio Spurs,4,Philadelphia 76ers,3,NA,NA
1979,NBA,Eastern Conf Semifinals,Washington Wizards,4,Atlanta Hawks,3,NA,NA
1979,NBA,Western Conf Semifinals,Phoenix Suns,4,Sacramento Kings,1,NA,NA
1979,NBA,Western Conf Semifinals,Oklahoma City Thunder,4,Los Angeles Lakers,1,NA,NA
1979,NBA,Eastern Conf Finals,Washington Wizards,4,San Antonio Spurs,3,NA,NA
1979,NBA,Western Conf Finals,Oklahoma City Thunder,4,Phoenix Suns,3,NA,NA
1979,NBA,Finals,Oklahoma City Thunder,4,Washington Wizards,1,NA,NA
1978,NBA,Eastern Conf First Round,New York Knicks,2,Cleveland Cavaliers,0,NA,NA
1978,NBA,Eastern Conf First Round,Washington Wizards,2,Atlanta Hawks,0,NA,NA
1978,NBA,Western Conf First Round,Milwaukee Bucks,2,Phoenix Suns,0,NA,NA
1978,NBA,Western Conf First Round,Oklahoma City Thunder,2,Los Angeles Lakers,1,NA,NA
1978,NBA,Eastern Conf Semifinals,Philadelphia 76ers,4,New York Knicks,0,NA,NA
1978,NBA,Eastern Conf Semifinals,Washington Wizards,4,San Antonio Spurs,2,NA,NA
1978,NBA,Western Conf Semifinals,Denver Nuggets,4,Milwaukee Bucks,3,NA,NA
1978,NBA,Western Conf Semifinals,Oklahoma City Thunder,4,Portland Trail Blazers,2,NA,NA
1978,NBA,Eastern Conf Finals,Washington Wizards,4,Philadelphia 76ers,2,NA,NA
1978,NBA,Western Conf Finals,Oklahoma City Thunder,4,Denver Nuggets,2,NA,NA
1978,NBA,Finals,Washington Wizards,4,Oklahoma City Thunder,3,NA,NA
1977,NBA,Eastern Conf First Round,Boston Celtics,2,San Antonio Spurs,0,NA,NA
1977,NBA,Eastern Conf First Round,Washington Wizards,2,Cleveland Cavaliers,1,NA,NA
1977,NBA,Western Conf First Round,Golden State Warriors,2,Detroit Pistons,1,NA,NA
1977,NBA,Western Conf First Round,Portland Trail Blazers,2,Chicago Bulls,1,NA,NA
1977,NBA,Eastern Conf Semifinals,Houston Rockets,4,Washington Wizards,2,NA,NA
1977,NBA,Eastern Conf Semifinals,Philadelphia 76ers,4,Boston Celtics,3,NA,NA
1977,NBA,Western Conf Semifinals,Los Angeles Lakers,4,Golden State Warriors,3,NA,NA
1977,NBA,Western Conf Semifinals,Portland Trail Blazers,4,Denver Nuggets,2,NA,NA
1977,NBA,Eastern Conf Finals,Philadelphia 76ers,4,Houston Rockets,2,NA,NA
1977,NBA,Western Conf Finals,Portland Trail Blazers,4,Los Angeles Lakers,0,NA,NA
1977,NBA,Finals,Portland Trail Blazers,4,Philadelphia 76ers,2,NA,NA
1976,NBA,Eastern Conf First Round,Los Angeles Clippers,2,Philadelphia 76ers,1,NA,NA
1976,NBA,Western Conf First Round,Detroit Pistons,2,Milwaukee Bucks,1,NA,NA
1976,NBA,Eastern Conf Semifinals,Boston Celtics,4,Los Angeles Clippers,2,NA,NA
1976,NBA,Eastern Conf Semifinals,Cleveland Cavaliers,4,Washington Wizards,3,NA,NA
1976,NBA,Western Conf Semifinals,Golden State Warriors,4,Detroit Pistons,2,NA,NA
1976,NBA,Western Conf Semifinals,Phoenix Suns,4,Oklahoma City Thunder,2,NA,NA
1976,NBA,Eastern Conf Finals,Boston Celtics,4,Cleveland Cavaliers,2,NA,NA
1976,NBA,Western Conf Finals,Phoenix Suns,4,Golden State Warriors,3,NA,NA
1976,NBA,Finals,Boston Celtics,4,Phoenix Suns,2,NA,NA
1976,ABA,First Round,Kentucky Colonels,2,Indiana Pacers,1,NA,NA
1976,ABA,Semifinals,Denver Nuggets,4,Kentucky Colonels,3,NA,NA
1976,ABA,Semifinals,Brooklyn Nets,4,San Antonio Spurs,3,NA,NA
1976,ABA,Finals,Brooklyn Nets,4,Denver Nuggets,2,NA,NA
1975,NBA,Eastern Conf First Round,Houston Rockets,2,New York Knicks,1,NA,NA
1975,NBA,Western Conf First Round,Oklahoma City Thunder,2,Detroit Pistons,1,NA,NA
1975,NBA,Eastern Conf Semifinals,Boston Celtics,4,Houston Rockets,1,NA,NA
1975,NBA,Eastern Conf Semifinals,Washington Wizards,4,Los Angeles Clippers,3,NA,NA
1975,NBA,Western Conf Semifinals,Chicago Bulls,4,Kansas City-Omaha Kings,2,NA,NA
1975,NBA,Western Conf Semifinals,Golden State Warriors,4,Oklahoma City Thunder,2,NA,NA
1975,NBA,Eastern Conf Finals,Washington Wizards,4,Boston Celtics,2,NA,NA
1975,NBA,Western Conf Finals,Golden State Warriors,4,Chicago Bulls,3,NA,NA
1975,NBA,Finals,Golden State Warriors,4,Washington Wizards,0,NA,NA
1975,ABA,Eastern Div Tiebreak,Kentucky Colonels,1,Brooklyn Nets,0,NA,NA
1975,ABA,Eastern Div Semifinals,Kentucky Colonels,4,Memphis Sounds,1,NA,NA
1975,ABA,Eastern Div Semifinals,Spirits of St. Louis,4,Brooklyn Nets,1,NA,NA
1975,ABA,Western Div Semifinals,Denver Nuggets,4,Utah Stars,2,NA,NA
1975,ABA,Western Div Semifinals,Indiana Pacers,4,San Antonio Spurs,2,NA,NA
1975,ABA,Eastern Div Finals,Kentucky Colonels,4,Spirits of St. Louis,1,NA,NA
1975,ABA,Western Div Finals,Indiana Pacers,4,Denver Nuggets,3,NA,NA
1975,ABA,Finals,Kentucky Colonels,4,Indiana Pacers,1,NA,NA
1974,NBA,Eastern Conf Semifinals,Boston Celtics,4,Los Angeles Clippers,2,NA,NA
1974,NBA,Eastern Conf Semifinals,New York Knicks,4,Capital Bullets,3,NA,NA
1974,NBA,Western Conf Semifinals,Chicago Bulls,4,Detroit Pistons,3,NA,NA
1974,NBA,Western Conf Semifinals,Milwaukee Bucks,4,Los Angeles Lakers,1,NA,NA
1974,NBA,Eastern Conf Finals,Boston Celtics,4,New York Knicks,1,NA,NA
1974,NBA,Western Conf Finals,Milwaukee Bucks,4,Chicago Bulls,0,NA,NA
1974,NBA,Finals,Boston Celtics,4,Milwaukee Bucks,3,NA,NA
1974,ABA,Western Div Tiebreak,San Diego Conquistadors,1,Denver Rockets,0,NA,NA
1974,ABA,Eastern Div Semifinals,Kentucky Colonels,4,Carolina Cougars,0,NA,NA
1974,ABA,Eastern Div Semifinals,Brooklyn Nets,4,Virginia Squires,1,NA,NA
1974,ABA,Western Div Semifinals,Indiana Pacers,4,San Antonio Spurs,3,NA,NA
1974,ABA,Western Div Semifinals,Utah Stars,4,San Diego Conquistadors,2,NA,NA
1974,ABA,Eastern Div Finals,Brooklyn Nets,4,Kentucky Colonels,0,NA,NA
1974,ABA,Western Div Finals,Utah Stars,4,Indiana Pacers,3,NA,NA
1974,ABA,Finals,Brooklyn Nets,4,Utah Stars,1,NA,NA
1973,NBA,Eastern Conf Semifinals,Boston Celtics,4,Atlanta Hawks,2,NA,NA
1973,NBA,Eastern Conf Semifinals,New York Knicks,4,Baltimore Bullets,1,NA,NA
1973,NBA,Western Conf Semifinals,Golden State Warriors,4,Milwaukee Bucks,2,NA,NA
1973,NBA,Western Conf Semifinals,Los Angeles Lakers,4,Chicago Bulls,3,NA,NA
1973,NBA,Eastern Conf Finals,New York Knicks,4,Boston Celtics,3,NA,NA
1973,NBA,Western Conf Finals,Los Angeles Lakers,4,Golden State Warriors,1,NA,NA
1973,NBA,Finals,New York Knicks,4,Los Angeles Lakers,1,NA,NA
1973,ABA,Eastern Div Semifinals,Carolina Cougars,4,Brooklyn Nets,1,NA,NA
1973,ABA,Eastern Div Semifinals,Kentucky Colonels,4,Virginia Squires,1,NA,NA
1973,ABA,Western Div Semifinals,Indiana Pacers,4,Denver Rockets,1,NA,NA
1973,ABA,Western Div Semifinals,Utah Stars,4,San Diego Conquistadors,0,NA,NA
1973,ABA,Eastern Div Finals,Kentucky Colonels,4,Carolina Cougars,3,NA,NA
1973,ABA,Western Div Finals,Indiana Pacers,4,Utah Stars,2,NA,NA
1973,ABA,Finals,Indiana Pacers,4,Kentucky Colonels,3,NA,NA
1972,NBA,Eastern Conf Semifinals,Boston Celtics,4,Atlanta Hawks,2,NA,NA
1972,NBA,Eastern Conf Semifinals,New York Knicks,4,Baltimore Bullets,2,NA,NA
1972,NBA,Western Conf Semifinals,Los Angeles Lakers,4,Chicago Bulls,0,NA,NA
1972,NBA,Western Conf Semifinals,Milwaukee Bucks,4,Golden State Warriors,1,NA,NA
1972,NBA,Eastern Conf Finals,New York Knicks,4,Boston Celtics,1,NA,NA
1972,NBA,Western Conf Finals,Los Angeles Lakers,4,Milwaukee Bucks,2,NA,NA
1972,NBA,Finals,Los Angeles Lakers,4,New York Knicks,1,NA,NA
1972,ABA,Eastern Div Semifinals,Brooklyn Nets,4,Kentucky Colonels,2,NA,NA
1972,ABA,Eastern Div Semifinals,Virginia Squires,4,The Floridians,0,NA,NA
1972,ABA,Western Div Semifinals,Indiana Pacers,4,Denver Rockets,3,NA,NA
1972,ABA,Western Div Semifinals,Utah Stars,4,Dallas Chaparrals,0,NA,NA
1972,ABA,Eastern Div Finals,Brooklyn Nets,4,Virginia Squires,3,NA,NA
1972,ABA,Western Div Finals,Indiana Pacers,4,Utah Stars,3,NA,NA
1972,ABA,Finals,Indiana Pacers,4,Brooklyn Nets,2,NA,NA
1971,NBA,Eastern Conf Semifinals,Baltimore Bullets,4,Philadelphia 76ers,3,NA,NA
1971,NBA,Eastern Conf Semifinals,New York Knicks,4,Atlanta Hawks,1,NA,NA
1971,NBA,Western Conf Semifinals,Los Angeles Lakers,4,Chicago Bulls,3,NA,NA
1971,NBA,Western Conf Semifinals,Milwaukee Bucks,4,Golden State Warriors,1,NA,NA
1971,NBA,Eastern Conf Finals,Baltimore Bullets,4,New York Knicks,3,NA,NA
1971,NBA,Western Conf Finals,Milwaukee Bucks,4,Los Angeles Lakers,1,NA,NA
1971,NBA,Finals,Milwaukee Bucks,4,Baltimore Bullets,0,NA,NA
1971,ABA,Western Div Tiebreak,Texas Chaparrals,1,Denver Rockets,0,NA,NA
1971,ABA,Eastern Div Semifinals,Kentucky Colonels,4,The Floridians,2,NA,NA
1971,ABA,Eastern Div Semifinals,Virginia Squires,4,Brooklyn Nets,2,NA,NA
1971,ABA,Western Div Semifinals,Indiana Pacers,4,Memphis Pros,0,NA,NA
1971,ABA,Western Div Semifinals,Utah Stars,4,Texas Chaparrals,0,NA,NA
1971,ABA,Eastern Div Finals,Kentucky Colonels,4,Virginia Squires,2,NA,NA
1971,ABA,Western Div Finals,Utah Stars,4,Indiana Pacers,3,NA,NA
1971,ABA,Finals,Utah Stars,4,Kentucky Colonels,3,NA,NA
1970,NBA,Eastern Div Semifinals,Milwaukee Bucks,4,Philadelphia 76ers,1,NA,NA
1970,NBA,Eastern Div Semifinals,New York Knicks,4,Baltimore Bullets,3,NA,NA
1970,NBA,Western Div Semifinals,Atlanta Hawks,4,Chicago Bulls,1,NA,NA
1970,NBA,Western Div Semifinals,Los Angeles Lakers,4,Phoenix Suns,3,NA,NA
1970,NBA,Eastern Div Finals,New York Knicks,4,Milwaukee Bucks,1,NA,NA
1970,NBA,Western Div Finals,Los Angeles Lakers,4,Atlanta Hawks,0,NA,NA
1970,NBA,Finals,New York Knicks,4,Los Angeles Lakers,3,NA,NA
1970,ABA,Eastern Div Semifinals,Indiana Pacers,4,Carolina Cougars,0,NA,NA
1970,ABA,Eastern Div Semifinals,Kentucky Colonels,4,Brooklyn Nets,3,NA,NA
1970,ABA,Western Div Semifinals,Denver Rockets,4,Washington Capitols,3,NA,NA
1970,ABA,Western Div Semifinals,Los Angeles Stars,4,Dallas Chaparrals,2,NA,NA
1970,ABA,Eastern Div Finals,Indiana Pacers,4,Kentucky Colonels,1,NA,NA
1970,ABA,Western Div Finals,Los Angeles Stars,4,Denver Rockets,1,NA,NA
1970,ABA,Finals,Indiana Pacers,4,Los Angeles Stars,2,NA,NA
1969,NBA,Eastern Div Semifinals,Boston Celtics,4,Philadelphia 76ers,1,NA,NA
1969,NBA,Eastern Div Semifinals,New York Knicks,4,Baltimore Bullets,0,NA,NA
1969,NBA,Western Div Semifinals,Atlanta Hawks,4,San Diego Rockets,2,NA,NA
1969,NBA,Western Div Semifinals,Los Angeles Lakers,4,Golden State Warriors,2,NA,NA
1969,NBA,Eastern Div Finals,Boston Celtics,4,New York Knicks,2,NA,NA
1969,NBA,Western Div Finals,Los Angeles Lakers,4,Atlanta Hawks,1,NA,NA
1969,NBA,Finals,Boston Celtics,4,Los Angeles Lakers,3,NA,NA
1969,ABA,Eastern Div Semifinals,Indiana Pacers,4,Kentucky Colonels,3,NA,NA
1969,ABA,Eastern Div Semifinals,Miami Floridians,4,Minnesota Pipers,3,NA,NA
1969,ABA,Western Div Semifinals,New Orleans Buccaneers,4,Dallas Chaparrals,3,NA,NA
1969,ABA,Western Div Semifinals,Oakland Oaks,4,Denver Rockets,3,NA,NA
1969,ABA,Eastern Div Finals,Indiana Pacers,4,Miami Floridians,1,NA,NA
1969,ABA,Western Div Finals,Oakland Oaks,4,New Orleans Buccaneers,0,NA,NA
1969,ABA,Finals,Oakland Oaks,4,Indiana Pacers,1,NA,NA
1968,NBA,Eastern Div Semifinals,Boston Celtics,4,Detroit Pistons,2,NA,NA
1968,NBA,Eastern Div Semifinals,Philadelphia 76ers,4,New York Knicks,2,NA,NA
1968,NBA,Western Div Semifinals,Los Angeles Lakers,4,Chicago Bulls,1,NA,NA
1968,NBA,Western Div Semifinals,Golden State Warriors,4,Atlanta Hawks,2,NA,NA
